offset24,offset,svg1,location1,plant1,location2,plant2,location3,plant3,hex1,hex2,
00,00,,spain-canary-islands,lotus-berthelotii,sao-tome,angraecopsis-dolabriformis,st-helena,acalypha-rubrinervis,,,
01,-01,,cape-verde,habenaria-petromedusa,cape-verde,stachytarpheta-fallax,portugal-azores,picconia-azorica,,,
02,-02,,brazil-trindade-island,plantago-trinitatis,brazil-trindade-island,psilotum-triquetrum,brazil-trindade,achyrocline-disjuncta,,,
03,-03,,brazil,brugmansia-suaveolens,brazil,waltillia-hatschbachii,brazil,eriothymus,,,
04,-04,,chile,zostera-chilensis,chile,tecophilaea-cyanocrocus,chile,santalum-fernandezianum,,,
05,-05,,usa-north-carolina,orbexilum-macrophyllum,usa-florida,tephrosia-angustissima,colombia,caliphruria-tenera,,,
06,-06,,usa-kentucky,orbexilum-stipulatum,chile-easter-island,sophora-toromiro,ecuador-galapagos,gracilaria-skottsbergii,,,
07,-07,1,canada-alberta,metasequoia-foxii,usa-new-mexico,astragalus-vaccarum,usa-new-mexico,helianthus-praetermissus,,,
08,-8,,usa-california,atriplex-tularensis,usa-california,calochortus-monanthus,usa-washington,corispermum-pallidum,,,
09,-9,,usa-alaska,polystichum-aleuticum,usa-alaska,acer-dettermani,usa-alaska,acer-kenaicum,,,
10,-10,,usa-hawaii,cyanea-dolichopoda,usa-hawaii,hibiscadelphus-woodii,usa-hawaii,argyroxiphium-sandwicense,,,
11,-11,,spain,posidonia-oceanica,new-zealand,zostera-muelleri,samoa,balaka-insularis,,,
12,-12,1,new-zealand,eyelash-seaweed,new-zealand,banksia-novae-zelandiae,fiji,weinmannia-spiraeoides,,,
13,11,,philip-island,streblorrhiza-speciosa,new-caledonia,balanops-microstachya,new-caledonia,psychotria-veillonii,,,
14,10,,australia,caladenia-brachyscapa,australia,vanvoorstia-bennettiana,australia,euphrasia-ruptura,,,
15,9,,australia,senecio-georgianus,japan,phyllospadix-japonicus,south-korea,lycoris-sanguinea-var-koreana,,,
16,8,,china,adiantum-lianxianense,malaysia,begonia-eiromischa,australia,hemiandra-rutilans,,,
17,7,1,myanmar,amherstia-nobilis-wall,indonesia,mangifera-casturi,indonesia,dipterocarpus-cinereus,,,
18,6,,east-himalaya,musa-mannii,kazakhstan,astragalus-leucocalyx,bangladesh,thecostele-alata,,,
19,5,1,india,madhuca-insignis,india,sterculia-khasiana,india,cynometra-beddomei,,,
20,4,,yemen,taverniera-sericophylla,mauritius,casearia-tinifolia,yemen,dracaena-cinnabari,,,
21,3,1,madagascar,ormocarpopsis-nitida,ethiopia,linderniella-ugandensis,tanzania,streptocarpus-euanthus,,,
22,2,,south-africa,encephalartos-woodii,ukraine,centaurea-pseudoleucolepis,south-africa,aspalathus-variegata,,,
23,1,,morocco,trifolium-acutiflorum,algeria,lathyrus-gorgoni,belgium,drosera-anglica,,,
